,Scientific Name,Common Name,Sunlight,Moisture Use,Soil Watering Indicator,Plant Spread,Plant Height,Toxic to Dogs,Toxic to Cats,Plant Habit,Type,Indoor Flowering,Hanging,Bloom Period,Humidity,Air Purifying,Indoor Height,Ph Soil,Bloom Description
zebra_plant,Aphelandra squarrosa,Zebra Plant,Part shade to full shade,Medium,Never dry,4.00 to 5.00 feet,4.00 to 6.00 feet,No,No,Herb/Forb/Shrub,Broadleaf evergreen,Yes,No,Late Summer to Fall,High,Unknown,1.00 to 2.00 feet,Acidic,Yellow
cala_zebra_plant,Calathea zebrina,Calathea Zebra Plant,Part shade to full shade,Medium,Never dry,1.00 to 2.00 feet,1.00 to 3.00 feet,No,No,Herb/Forb,Herbaceous perennial,Rarely,No,Mid Spring,High,Unknown,1.00 to 3.00 feet,Unknown,White/Purple
jade_plant,Crassula ovata,Jade Plant,Part shade,Medium,Dry,2.00 to 3.00 feet,3.00 to 6.00 feet,Yes,Yes,Cactus/Succulent,Broadleaf evergreen,Rarely,No,Spring,Low to Moderate,Unknown,1.50 to 3.00 feet,"Acidic, Neutral,Alkaline",White/Pink
crown_of_thorns,Euphorbia milii,Crown of Thorns,Full sun,Low to medium,Slightly dry,1.50 to 3.00 feet,3.00 to 6.00 feet,Yes,Yes,Shrub/Cactus/Succulent,Broadleaf evergreen,Yes,No,Late Winter to Fall,Low to High,Unknown,0.50 to 2.00 feet,"Acidic, Neutral,Alkaline",Red
weeping_fig,Ficus benjamina ,Weeping Fig,Full sun to part shade,Medium,Slightly dry,25.00 to 30.00 feet,40.00 to 50.00 feet,Yes,Yes,Shrub/Tree,Broadleaf evergreen,Rarely,No,Unknown,Moderate to High,Yes,2.00 to 10.00 feet,Acidic,Black/Red/Orange
sago_palm,Cycas revoluta,Sago Palm,Full sun to part shade,Medium,Dry,3.00 to 10.00 feet,3.00 to 10.00 feet,Yes,Yes,Shrub/Tree,Palm/Cycad,N/A,No,N/A,Moderate to High,Unknown,0.50 to 2.00 feet,"Acidic, Neutral",N/A
wandering_jew,Tradescantia fluminensis,Wandering Jew,Full sun to part shade,Medium,Dry,0.75 to 2.00 feet,0.50 to 6.00 feet,Yes,No,Herb/Forb,Herbaceous perennial,Rarely,Yes,Year Round,Moderate to High,Unknown,2.00 to 6.00 feet,"Acidic, Neutral",White
,Hoya lanceolata subsp. bella,Miniature Wax Plant,Full sun to part shade,Medium,Nearly dry,1.00 to 1.50 feet,1.00 to 1.50 feet,Unknown,Unknown,Cactus/Succulent/Vine,Broadleaf evergreen,Yes,No,Summer,Moderate to High,Unknown,1.00 to 1.50 feet,"Acidic, Neutral",White
golden_pothos,Epipremnum aureum,Golden Pothos,Part shade,Medium,Nearly dry,3.00 to 6.00 feet,20.00 to 40.00 feet,Yes,Yes,Herb/Forb,Vine,Rarely,Yes,Mid Summer,Moderate,Yes,6.00 to 8.00 feet,Acidic,White
snake_plant,Sansevieria trifasciata,Snake Plant,Part shade,Medium,Nearly Dry,1.00 to 2.00 feet,2.00 to 4.00 feet,Yes,Yes,Herb/Forb,Herbaceous perennial,Rarely,No,Late Spring to Early Summer,Moderate,Yes,0.50 to 2.00 feet,"Alkaline, Neutral",White/Green
prayer_plant,Maranta leuconeura,Prayer Plant,Part shade to full shade,High,Never dry,0.50 to 1.00 feet,0.50 to 1.00 feet,No,No,Herb/Forb,Herbaceous perennial,Rarely,Yes,Late Spring to Early Summer,High,Unknown,0.50 to 1.00 feet,Acidic,White
wax_plant_begonia,Begonia Semperflorens Cultorum Group ,Wax Plant Begonia,Full sun to part shade,Medium,Dry,0.50 to 1.00 feet,0.50 to 1.00 feet,Yes,Yes,Herb/Forb,Herbaceous perennial,Yes,No,Year Round,Moderate to High,Unknown,0.50 to 1.00 feet,"Acidic, Neutral",White/Pink/Red
umbrella_plant,Schefflera arboricola,Umbrella Plant,Full sun to part shade,Medium,Dry,4.00 to 8.00 feet,10.00 to 25.00 feet,Yes,Yes,Shrub/Tree,Broadleaf evergreen,Rarely,No,Unknown,Moderate,Unknown,4.00 to 8.00 feet,"Acidic, Alkaline, Neutral",Red/Orange
arrowhead_plant,Syngonium podophyllum,Arrowhead Plant,Part shade,Medium,Nearly dry,1.00 to 2.00 feet,3.00 to 6.00 feet,Yes,Yes,Herb/Forb,Vine,Rarely,Yes,Unknown,Moderate to High,Unknown,3.00 to 6.00 feet,"Acidic, Alkaline, Neutral",White/Green
rabbit_foot_fern,Davallia Fejeensis,Rabbit's Foot Fern,Part Shade,Medium,Never dry,1.00 to 4.00 feet,1.00 to 3.00 feet,No,No,Fern,Fern,No,No,N/A,Moderate to High,Unknown,1.00 to 3.00 feet,Unknown,N/A
peace_lily,Spathiphyllum wallisii,Peace Lily,Part shade to full shade,Medium,Nearly dry,1.00 to 5.00 feet,1.00 to 6.00 feet,Yes,Yes,"Herb/Forb
",Herbaceous perennial,Yes,No,Late Spring to Fall,High,Yes,1.00 to 6.00 feet,"Acidic, Alkaline, Neutral",White
zz_plant,Zamioculcas Zamifolia,ZZ plant,Part shade to full shade,Medium,Slightly dry,2.00 to 3.00 feet,2.00 to 3.00 feet,Yes,Yes,Herb/Forb,Herbaceous perennial,Rarely,No,Year Round,Low to Moderate,Unknown,2.00 to 3.00 feet,Unknown,White/Green
parlor_palm,Chamaedorea elegans,Parlor Palm,Part shade to full shade,Medium,Slightly dry,2.00 to 3.00 feet,2.00 to 6.00 feet,No,No,Tree,Palm/Cycad,Yes,No,Late Winter to Early Summer,Moderate,Yes,2.00 to 6.00 feet,"Acidic, Neutral",Yellow
