Scientific_Name,Common_Name,img_name,Sunlight,Moisture,Soil_Indicator,Plant_Spread,Plant_Height,Toxic_Dogs,Toxic_Cats,Plant_Habit,Type,Indoor_Flowering,Hanging,Bloom_Period,Humidity,Air Purifying,Max Indoor Height???,Fertilizer,Ph Soil
Aphelandra squarrosa,Zebra Plant,zebra_plant.png,Part shade to full shade,Medium,Never dry,4.00 to 5.00 feet,4.00 to 6.00 feet,No,No,,,,No,,,,,,
Calathea zebrina,Calathea Zebra Plant,cala_zebra_plant.png,Part shade to full shade,Medium,Never dry,1.00 to 2.00 feet,1.00 to 3.00 feet,No,No,forb/herb,,,No,,,,,,
Crassula ovata,Jade Plant,jade_plant.png,Part shade,Medium,Dry,2.00 to 3.00 feet,3.00 to 6.00 feet,Yes,Yes,shrub,,,No,,,,,,
Euphorbia milii,Crown of Thorns,crown_of_thorns.png,Full sun,Low to medium,Slightly dry,1.50 to 3.00 feet,3.00 to 6.00 feet,Yes,Yes,,,,No,,,,,,
Ficus benjamina,Weeping Fig,weeping_fig.png,Full sun to part shade,Medium,Slightly dry,25.00 to 30.00 feet,40.00 to 50.00 feet,Yes,Yes,shrub/tree,,,No,,,,,,
Cycas revoluta,Sago Palm,sago_palm.png,Full sun to part shade,Medium,Dry,3.00 to 10.00 feet,3.00 to 10.00 feet,Yes,Yes,shrub/tree,,,No,,,,,,
Tradescantia fluminensis,Wandering Jew,wandering_jew.png,Full sun to part shade,Medium,Dry,0.75 to 2.00 feet,0.50 to 0.75 feet,Yes,No,,,,Yes,,,,,,
Hoya lanceolata subsp. bella,Miniature Wax Plant,,Full sun to part shade,Medium,Nearly dry,1.00 to 1.50 feet,1.00 to 1.50 feet,Unknown,Unknown,,,,,,,,,,
Epipremnum aureum,Golden Pothos,golden_pothos.png,Part shade,Medium,Nearly dry,3.00 to 6.00 feet,20.00 to 40.00 feet,Yes,Yes,,,,Yes,,,,,,
Sansevieria trifasciata,Snake Plant,snake_plant.png,Part shade,Medium,Dry,1.00 to 2.00 feet,2.00 to 4.00 feet,Yes,Yes,,,,,,,,,,
Maranta leuconeura,Prayer Plant,prayer_plant.png,Part shade to full shade,High,Never dry,0.50 to 1.00 feet,0.50 to 1.00 feet,No,No,,,Rarely,Yes,,,,,,
Begonia Semperflorens Cultorum Group,Wax Plant Begonia,wax_plant_begonia.png,Full sun to part shade,Medium,Dry,0.50 to 1.00 feet,0.50 to 1.00 feet,Yes,Yes,,,,,,,,,,
Schefflera arboricola,Umbrella Plant,umbrella_plant.png,Full sun to part shade,Medium,Dry,4.00 to 8.00 feet,10.00 to 25.00 feet,Yes,Yes,shrub/tree,,Rarely,,,,,,,
Syngonium podophyllum,Arrowhead Plant,arrowhead_plant.png,Part shade,Medium,Nearly dry,1.00 to 2.00 feet,3.00 to 6.00 feet,Yes,Yes,,,,,,,,,,
Davallia Fejeensis,Rabbit's Foot Fern,rabbit_foot_fern.png,Part shade,Medium,Never dry,1.00 to 4.00 feet,1.00 to 3.00 feet,No,No,,,No,,N/A,,,,,
Spathiphyllum,Peace Lily,peace_lily.png,Part shade to full shade,Medium,Nearly dry,1.00 to 5.00 feet,1.00 to 6.00 feet,Yes,Yes,forb/herb,,,,,,,,,
Zamioculcas Zamifolia,ZZ plant,zz_plant.png,Part shade to full shade,Medium,Slightly dry,2.00 to 3.00 feet,2.00 to 3.00 feet,Yes,Yes,,,,,,,,,,
Chamaedorea elegans,Parlor Palm,parlor_palm.png,Part shade to full shade,Medium,Slightly dry,2.00 to 3.00 feet,2.00 to 6.00 feet,No,No,,,,,,,Yes,,,
Ficus elastica,Rubber Plant,rubber_plant.png,Part shade,Medium,Dry,50.00 to 6.00 feet,50.00 to 6.00 feet,No,No,tree,,Rarely,,,,,,,
